'time', 'timestamp', 'endpoint', 'object', 'instance', 'resource', 'value'
2021-05-06 17:01:11.517666+01,1620316871,t91-jak,3303,0,5700,12.879999160766602
2021-05-06 17:01:11.115082+01,1620316870,t91-jak,3300,4,5700,1070638016
2021-05-06 17:01:05.753403+01,1620316865,t91-jak,3300,3,5700,1093120640
2021-05-06 17:01:00.330901+01,1620316860,t91-jak,3300,2,5700,1107301632
2021-05-06 17:00:54.952256+01,1620316854,t91-jak,3300,0,5700,142995.0
2021-05-06 17:00:40.086053+01,1620316839,t91-jak,3304,0,5700,23.195999145507812
2021-05-06 17:00:39.765999+01,1620316839,t91-jak,3303,0,5700,12.179999351501465
2021-05-06 17:00:39.290757+01,1620316838,t91-jak,3300,4,5700,1070638016
2021-05-06 17:00:33.930047+01,1620316833,t91-jak,3300,3,5700,1093120640
2021-05-06 17:00:28.572131+01,1620316828,t91-jak,3300,2,5700,1100837504
2021-05-06 17:00:22.952989+01,1620316822,t91-jak,3300,0,5700,179629.0
2021-05-06 16:50:01.352815+01,1620316201,t91-jak,3304,0,5700,21.553998947143555
2021-05-06 16:50:01.031367+01,1620316200,t91-jak,3303,0,5700,14.5
2021-05-06 16:50:00.711904+01,1620316200,t91-jak,3300,4,5700,1070638016
2021-05-06 16:49:55.061652+01,1620316194,t91-jak,3300,3,5700,1101509248
2021-05-06 16:49:49.751632+01,1620316189,t91-jak,3300,2,5700,1092448896
2021-05-06 16:49:44.231504+01,1620316183,t91-jak,3300,0,5700,133607.0
2021-05-06 16:49:28.965798+01,1620316168,t91-jak,3304,0,5700,21.737998962402344
2021-05-06 16:49:28.633785+01,1620316168,t91-jak,3303,0,5700,13.669999122619629
2021-05-06 16:49:28.311402+01,1620316167,t91-jak,3300,4,5700,1070638016
2021-05-06 16:49:22.970008+01,1620316162,t91-jak,3300,3,5700,1101509248
2021-05-06 16:49:17.670944+01,1620316157,t91-jak,3300,2,5700,1092448896
2021-05-06 16:49:12.233337+01,1620316151,t91-jak,3300,0,5700,159842.0
2021-05-06 16:39:10.954679+01,1620315550,t91-jak,3304,0,5700,22.588998794555664
2021-05-06 16:39:10.485762+01,1620315550,t91-jak,3303,0,5700,13.879999160766602
